"IDalt","Buffer","MeanDist","MedianDist","NumLines","TotalLength_m","Notes"
2784,"1km",236.970817219862,31.7165664041644,6,10135,"Full group used"
2798,"1km",236.970817219862,31.7165664041644,6,10135,"Full group used"
2966,"1km",236.970817219862,31.7165664041644,6,10135,"Full group used"
2800,"1km",0,0,3,8927,"Full group used"
2839,"1km",0,0,3,8927,"Full group used"
2946,"1km",0,0,3,8927,"Full group used"
2819,"1km",236.970817219862,31.7165664041644,6,10135,"Full group used"
2837,"1km",236.970817219862,31.7165664041644,6,10135,"Full group used"
2859,"1km",236.970817219862,31.7165664041644,6,10135,"Full group used"
2864,"1km",236.970817219862,31.7165664041644,6,10135,"Full group used"
2893,"1km",236.970817219862,31.7165664041644,6,10135,"Full group used"
2913,"1km",236.970817219862,31.7165664041644,6,10135,"Full group used"
2947,"1km",236.970817219862,31.7165664041644,6,10135,"Full group used"
2982,"1km",236.970817219862,31.7165664041644,6,10135,"Full group used"
2996,"1km",236.970817219862,31.7165664041644,6,10135,"Full group used"
3021,"1km",236.970817219862,31.7165664041644,6,10135,"Full group used"
3030,"1km",236.970817219862,31.7165664041644,6,10135,"Full group used"
3057,"1km",236.970817219862,31.7165664041644,6,10135,"Full group used"
3088,"1km",236.970817219862,31.7165664041644,6,10135,"Full group used"
2785,"1km",0,0,3,8927,"Full group used"
2823,"1km",0,0,3,8927,"Full group used"
2861,"1km",0,0,3,8927,"Full group used"
2899,"1km",0,0,3,8927,"Full group used"
2917,"1km",0,0,3,8927,"Full group used"
2964,"1km",0,0,3,8927,"Full group used"
2981,"1km",0,0,3,8927,"Full group used"
3019,"1km",0,0,3,8927,"Full group used"
3041,"1km",0,0,3,8927,"Full group used"
3052,"1km",0,0,3,8927,"Full group used"
3083,"1km",0,0,3,8927,"Full group used"
2875,"1km",0,0,3,10145,"Full group used"
2896,"1km",0,0,3,10145,"Full group used"
2915,"1km",0,0,3,10145,"Full group used"
2962,"1km",0,0,3,10145,"Full group used"
2993,"1km",0,0,3,10145,"Full group used"
3061,"1km",347.635557112668,0,5,14239,"Full group used"
1883,"1km",546.142515218231,546.142515218231,2,5139,"Full group used"
507,"1km",143.839462686679,0,5,5874,"Full group used"
275,"1km",433.888141608029,388.578381480627,11,11214,"Full group used"
2881,"1km",347.635557112668,0,5,14239,"Full group used"
2792,"1km",0,0,3,9768,"Full group used"
2809,"1km",0,0,3,9768,"Full group used"
2830,"1km",0,0,3,9768,"Full group used"
2846,"1km",0,0,3,9768,"Full group used"
2858,"1km",0,0,3,9768,"Full group used"
2874,"1km",0,0,3,9768,"Full group used"
2907,"1km",0,0,3,9768,"Full group used"
2918,"1km",0,0,3,9768,"Full group used"
2954,"1km",215.55783142273,119.58229246762,4,11637,"Full group used"
1791,"1km",421.838598108276,629.674881930927,6,7820,"Full group used"
2248,"1km",630.985891245671,630.985891245671,2,6715,"Full group used"
2323,"1km",31.0764960290775,31.0764960290775,2,7761,"Full group used"
979,"1km",125.379467368551,0,5,5597,"Full group used"
1511,"1km",393.903758429171,467.333569540462,13,19488,"Full group used"
793,"1km",301.689390834179,437.180380305093,6,10813,"Full group used"
1608,"1km",421.862511987426,362.233755902939,7,6717,"Full group used"
1619,"1km",421.862511987426,362.233755902939,7,6717,"Full group used"
709,"1km",603.486399206466,509.022536202273,9,7604,"Full group used"
886,"1km",466.606428537149,598.976160604848,7,7387,"Full group used"
896,"1km",466.606428537149,598.976160604848,7,7387,"Full group used"
2488,"1km",466.606428537149,598.976160604848,7,7387,"Full group used"
1175,"1km",0,0,3,5776,"Full group used"
1181,"1km",0,0,3,5776,"Full group used"
2460,"1km",0,0,2,1825,"Full group used"
839,"1km",426.603573872,173.015779586803,8,6791,"Full group used"
590,"1km",447.449759661035,474.163311915942,10,14019,"Full group used"
1327,"1km",503.666342740766,461.005470194943,3,9459,"Full group used"
84,"1km",497.854989064185,691.0774953749,6,13844,"Full group used"
3003,"1km",0,0,3,5353,"Full group used"
3034,"1km",0,0,3,5353,"Full group used"
2937,"1km",412.994902048631,0,5,6948,"Full group used"
2938,"1km",251.6985354662,0,5,5422,"Full group used"
3005,"1km",251.6985354662,0,5,5422,"Full group used"
3004,"1km",321.849939358845,96.7078361735028,7,9612,"Full group used"
3035,"1km",321.849939358845,96.7078361735028,7,9612,"Full group used"
3036,"1km",251.6985354662,0,5,5422,"Full group used"
3066,"1km",0,0,3,5353,"Full group used"
3067,"1km",321.849939358845,96.7078361735028,7,9612,"Full group used"
3068,"1km",251.6985354662,0,5,5422,"Full group used"
3100,"1km",0,0,3,5353,"Full group used"
3101,"1km",321.849939358845,96.7078361735028,7,9612,"Full group used"
3102,"1km",251.6985354662,0,5,5422,"Full group used"
3587,"1km",274.330975230796,243.122401224791,6,17362,"Full group used"
2802,"1km",236.57663331888,0,5,5046,"Full group used"
2818,"1km",236.57663331888,0,5,5046,"Full group used"
2824,"1km",411.618371210912,573.645488434138,7,10487,"Full group used"
2890,"1km",411.618371210912,573.645488434138,7,10487,"Full group used"
2912,"1km",411.618371210912,573.645488434138,7,10487,"Full group used"
3014,"1km",411.618371210912,573.645488434138,7,10487,"Full group used"
3048,"1km",411.618371210912,573.645488434138,7,10487,"Full group used"
3070,"1km",411.618371210912,573.645488434138,7,10487,"Full group used"
3095,"1km",411.618371210912,573.645488434138,7,10487,"Full group used"
2786,"1km",411.618371210912,573.645488434138,7,10487,"Full group used"
2796,"1km",411.618371210912,573.645488434138,7,10487,"Full group used"
2787,"1km",169.615866882986,169.615866882986,2,8873,"Full group used"
2799,"1km",169.615866882986,169.615866882986,2,8873,"Full group used"
2829,"1km",169.615866882986,169.615866882986,2,8873,"Full group used"
2840,"1km",236.57663331888,0,5,5046,"Full group used"
2862,"1km",411.618371210912,573.645488434138,7,10487,"Full group used"
2866,"1km",169.615866882986,169.615866882986,2,8873,"Full group used"
2895,"1km",169.615866882986,169.615866882986,2,8873,"Full group used"
2914,"1km",169.615866882986,169.615866882986,2,8873,"Full group used"
2951,"1km",169.615866882986,169.615866882986,2,8873,"Full group used"
2965,"1km",169.615866882986,169.615866882986,2,8873,"Full group used"
2995,"1km",169.615866882986,169.615866882986,2,8873,"Full group used"
3013,"1km",169.615866882986,169.615866882986,2,8873,"Full group used"
3047,"1km",169.615866882986,169.615866882986,2,8873,"Full group used"
3069,"1km",169.615866882986,169.615866882986,2,8873,"Full group used"
3094,"1km",169.615866882986,169.615866882986,2,8873,"Full group used"
2950,"1km",376.284444805098,0,6,8316,"Full group used"
2804,"1km",723.349307527963,723.349307527963,2,7935,"Full group used"
2851,"1km",172.422638682989,0,5,8586,"Full group used"
2781,"1km",172.422638682989,0,5,8586,"Full group used"
2816,"1km",172.422638682989,0,5,8586,"Full group used"
2850,"1km",393.822513489531,367.198669971362,4,13939,"Full group used"
2783,"1km",393.822513489531,367.198669971362,4,13939,"Full group used"
2805,"1km",393.822513489531,367.198669971362,4,13939,"Full group used"
2832,"1km",393.822513489531,367.198669971362,4,13939,"Full group used"
2853,"1km",393.822513489531,367.198669971362,4,13939,"Full group used"
2877,"1km",393.822513489531,367.198669971362,4,13939,"Full group used"
2889,"1km",393.822513489531,367.198669971362,4,13939,"Full group used"
3000,"1km",393.822513489531,367.198669971362,4,13939,"Full group used"
3031,"1km",393.822513489531,367.198669971362,4,13939,"Full group used"
3063,"1km",393.822513489531,367.198669971362,4,13939,"Full group used"
3097,"1km",393.822513489531,367.198669971362,4,13939,"Full group used"
2936,"1km",0,0,3,9506,"Full group used"
2820,"1km",376.85399310542,0,5,23253,"Full group used"
2821,"1km",723.349307527963,723.349307527963,2,7935,"Full group used"
2848,"1km",723.349307527963,723.349307527963,2,7935,"Full group used"
2871,"1km",172.422638682989,0,5,8586,"Full group used"
2884,"1km",376.85399310542,0,5,23253,"Full group used"
2885,"1km",723.349307527963,723.349307527963,2,7935,"Full group used"
2909,"1km",723.349307527963,723.349307527963,2,7935,"Full group used"
2910,"1km",172.422638682989,0,5,8586,"Full group used"
2932,"1km",723.349307527963,723.349307527963,2,7935,"Full group used"
2944,"1km",172.422638682989,0,5,8586,"Full group used"
2948,"1km",376.85399310542,0,5,23253,"Full group used"
2958,"1km",0,0,2,29761,"Full group used"
2985,"1km",172.422638682989,0,5,8586,"Full group used"
2992,"1km",376.85399310542,0,5,23253,"Full group used"
2999,"1km",376.85399310542,0,5,23253,"Full group used"
3043,"1km",376.85399310542,0,5,23253,"Full group used"
3080,"1km",376.85399310542,0,5,23253,"Full group used"
2901,"1km",347.635557112668,0,5,14239,"Full group used"
2921,"1km",347.635557112668,0,5,14239,"Full group used"
3045,"1km",347.635557112668,0,5,14239,"Full group used"
3092,"1km",347.635557112668,0,5,14239,"Full group used"
2934,"1km",0,0,3,8761,"Full group used"
2968,"1km",0,0,3,8761,"Full group used"
2983,"1km",0,0,3,8761,"Full group used"
2990,"1km",0,0,3,8761,"Full group used"
3011,"1km",0,0,3,8761,"Full group used"
3044,"1km",0,0,3,8761,"Full group used"
3091,"1km",0,0,3,8761,"Full group used"
2933,"1km",517.758942213532,0,5,9076,"Full group used"
2803,"1km",376.85399310542,0,5,23253,"Full group used"
2847,"1km",376.85399310542,0,5,23253,"Full group used"
2870,"1km",426.17530587795,40.2099501453465,6,9174,"Full group used"
2908,"1km",376.85399310542,0,5,23253,"Full group used"
2919,"1km",426.17530587795,40.2099501453465,6,9174,"Full group used"
2931,"1km",376.85399310542,0,5,23253,"Full group used"
2879,"1km",0,0,3,19719,"Full group used"
2972,"1km",0,0,3,19719,"Full group used"
2878,"1km",75.5350799217256,0,6,14092,"Full group used"
2795,"1km",181.833921086011,225.837834078585,6,6533,"Full group used"
2814,"1km",181.833921086011,225.837834078585,6,6533,"Full group used"
2836,"1km",181.833921086011,225.837834078585,6,6533,"Full group used"
2842,"1km",181.833921086011,225.837834078585,6,6533,"Full group used"
2855,"1km",181.833921086011,225.837834078585,6,6533,"Full group used"
